wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Gorontalo,7500,Tidak ada,2017,5.14,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2016,4.04,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2017,4.43,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Utara,7100,Tidak ada,2018,5.0,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Utara,7100,Tidak ada,2019,5.24,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tengah,7200,Tidak ada,2018,18.83,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tengah,7200,Tidak ada,2019,7.7,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Selatan,7300,Tidak ada,2018,6.05,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Selatan,7300,Tidak ada,2019,6.33,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tenggara,7400,Tidak ada,2018,4.34,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tenggara,7400,Tidak ada,2019,6.1,296,Laju Pertumbuhan PDRB Per Kapita
Gorontalo,7500,Tidak ada,2018,4.94,296,Laju Pertumbuhan PDRB Per Kapita
Gorontalo,7500,Tidak ada,2019,7.23,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2018,4.33,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2019,5.27,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Utara,7100,Tidak ada,2020,-5.65,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Utara,7100,Tidak ada,2021,3.28,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tengah,7200,Tidak ada,2020,7.13,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tengah,7200,Tidak ada,2021,10.29,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Selatan,7300,Tidak ada,2020,-3.28,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Selatan,7300,Tidak ada,2021,3.46,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tenggara,7400,Tidak ada,2020,1.13,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tenggara,7400,Tidak ada,2021,2.41,296,Laju Pertumbuhan PDRB Per Kapita
Gorontalo,7500,Tidak ada,2020,0.6,296,Laju Pertumbuhan PDRB Per Kapita
Gorontalo,7500,Tidak ada,2021,1.15,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2020,-6.2,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2021,1.02,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Utara,7100,Tidak ada,2022,4.58,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Utara,7100,Tidak ada,2023,4.66,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tengah,7200,Tidak ada,2022,13.86,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tengah,7200,Tidak ada,2023,10.62,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Selatan,7300,Tidak ada,2022,3.93,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Selatan,7300,Tidak ada,2023,3.37,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tenggara,7400,Tidak ada,2022,3.79,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tenggara,7400,Tidak ada,2023,3.65,296,Laju Pertumbuhan PDRB Per Kapita
Gorontalo,7500,Tidak ada,2022,2.74,296,Laju Pertumbuhan PDRB Per Kapita
Gorontalo,7500,Tidak ada,2023,3.22,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2022,0.71,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2023,3.65,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Utara,7100,Tidak ada,2024,4.6,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tengah,7200,Tidak ada,2024,8.66,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Selatan,7300,Tidak ada,2024,3.9,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Tenggara,7400,Tidak ada,2024,3.73,296,Laju Pertumbuhan PDRB Per Kapita
Gorontalo,7500,Tidak ada,2024,2.89,296,Laju Pertumbuhan PDRB Per Kapita
Sulawesi Barat,7600,Tidak ada,2024,3.22,296,Laju Pertumbuhan PDRB Per Kapita
